hw1;hw2;tw;bf1;tf1;bf2;tf2;psi;L;y_Mcr_u_eq
500;167;2.09;500;17.89;375;13.42;-0.75;19000;4.270872043
700;280;4.75;525;34.26;700;40.53;-0.75;28000;2.496102568
400;400;1.67;100;6.89;300;18.47;0.75;8000;0.919285864
160;400;3.43;200;9.37;100;6.89;-0.25;7200;3.724769575
100;400;1.33;300;15.16;300;4.11;1;5600;1.521068761
400;100;1.33;200;5.68;300;20.68;0.75;12000;1.454869792
900;300;6.11;675;21.67;675;14.21;-0.25;30600;2.999614962
160;400;7.2;100;7.2;100;7.2;-0.5;13600;2.194712592
333;500;2.09;125;4.47;500;14.21;0.25;17000;1.527930215
1000;500;18;500;21.58;1000;57.89;-0.25;16000;1.3915927
400;160;4.65;200;6.42;100;4.65;-0.25;5600;5.641695643
75;300;1.44;300;20.68;225;13.86;1;3600;1.449025342
229;800;32;600;48;800;52.21;-1;11200;2.634347501
1000;500;4.19;250;19.08;1000;21.05;-1;26000;0.861844155
800;320;5.43;400;21.68;600;19.26;-0.5;24000;2.059791796
360;900;3.77;675;36.59;450;31.03;-0.75;16200;2.941003341
1000;250;11.61;750;18.55;1000;68.95;0.25;28000;1.745914645
600;150;2.88;600;25.89;450;9.47;0.75;8400;2.070544323
160;400;2.72;100;4.68;300;10.74;0.5;8000;1.007731389
1000;500;8.57;1000;80;250;20;1;8000;4.730462014
900;900;16.2;450;27.71;225;16.2;-0.75;30600;3.869134694
900;360;5.06;225;5.06;900;22.26;0;14400;0.603060901
1000;1000;3.71;250;6.18;1000;35.79;-0.25;20000;0.949488215
900;225;6.11;675;39.08;225;6.11;0.75;34200;4.73489583
800;533;3.84;200;3.84;800;13.89;0.5;24000;0.593240126
300;300;1.26;300;5.21;75;5.45;-0.25;3600;3.939668348
200;500;3.4;125;3.4;125;6.78;1;3000;0.706358774
133;400;1.48;200;4.95;300;8.53;0.75;8800;0.751877585
250;1000;8.57;1000;43.16;250;8.57;-1;40000;4.015242968
350;700;2.93;350;28;525;34.26;-0.75;12600;2.067366195
1000;667;6.79;500;14.21;500;14.21;-0.75;20000;3.072659753
267;800;4.5;600;45.79;400;11.37;-1;19200;2.692085521
400;800;3.84;200;7.89;200;11.58;-0.25;8000;1.721707135
240;600;4.08;300;14.05;450;36;0;8400;1.492366068
150;300;2.04;150;2.04;300;10.74;-0.25;4200;0.994327845
700;233;2.33;175;2.33;700;12.16;0.25;14000;0.500818515
300;200;5.4;225;15.51;300;17.37;0.75;1800;0.739509235
900;257;3.34;900;38.84;900;52.11;0.75;32400;1.169670593
1000;250;40;250;40;1000;40;-0.5;32000;1.724504985
300;900;3.77;450;31.03;225;17.17;0.25;16200;3.249190635
700;233;12.6;175;12.6;525;42;0.75;11200;1.470644646
