hw1,hw2,tw,bf1,tf1,bf2,tf2,psi,L,y
500,167,2.09,500,17.89,375,13.42,-0.75,19000,0.612643057
700,280,4.75,525,34.26,700,40.53,-0.75,28000,0.699169996
400,400,1.67,100,6.89,300,18.47,0.75,8000,0.457077705
160,400,3.43,200,9.37,100,6.89,-0.25,7200,0.457930544
100,400,1.33,300,15.16,300,4.11,1,5600,0.551439128
400,100,1.33,200,5.68,300,20.68,0.75,12000,0.478093054
900,300,6.11,675,21.67,675,14.21,-0.25,30600,0.64216159
160,400,7.2,100,7.2,100,7.2,-0.5,13600,0.327753995
333,500,2.09,125,4.47,500,14.21,0.25,17000,0.460678058
1000,500,18,500,21.58,1000,57.89,-0.25,16000,0.754964316
400,160,4.65,200,6.42,100,4.65,-0.25,5600,0.47906622
75,300,1.44,300,20.68,225,13.86,1,3600,0.610936761
229,800,32,600,48,800,52.21,-1,11200,0.830030556
1000,500,4.19,250,19.08,1000,21.05,-1,26000,0.58459927
800,320,5.43,400,21.68,600,19.26,-0.5,24000,0.605730548
360,900,3.77,675,36.59,450,31.03,-0.75,16200,0.733877936
1000,250,11.61,750,18.55,1000,68.95,0.25,28000,0.74714116
600,150,2.88,600,25.89,450,9.47,0.75,8400,0.690165849
160,400,2.72,100,4.68,300,10.74,0.5,8000,0.40570456
1000,500,8.57,1000,80,250,20,1,8000,0.892762817
900,900,16.2,450,27.71,225,16.2,-0.75,30600,0.595514654
900,360,5.06,225,5.06,900,22.26,0,14400,0.569401758
1000,1000,3.71,250,6.18,1000,35.79,-0.25,20000,0.634527913
900,225,6.11,675,39.08,225,6.11,0.75,34200,0.626225599
800,533,3.84,200,3.84,800,13.89,0.5,24000,0.459594545
300,300,1.26,300,5.21,75,5.45,-0.25,3600,0.545165343
200,500,3.4,125,3.4,125,6.78,1,3000,0.391144417
133,400,1.48,200,4.95,300,8.53,0.75,8800,0.400565042
250,1000,8.57,1000,43.16,250,8.57,-1,40000,0.666227847
350,700,2.93,350,28,525,34.26,-0.75,12600,0.682932631
1000,667,6.79,500,14.21,500,14.21,-0.75,20000,0.630975878
267,800,4.5,600,45.79,400,11.37,-1,19200,0.675169298
400,800,3.84,200,7.89,200,11.58,-0.25,8000,0.491697163
240,600,4.08,300,14.05,450,36,0,8400,0.648214425
150,300,2.04,150,2.04,300,10.74,-0.25,4200,0.470283151
700,233,2.33,175,2.33,700,12.16,0.25,14000,0.453725443
300,200,5.4,225,15.51,300,17.37,0.75,1800,0.654044997
900,257,3.34,900,38.84,900,52.11,0.75,32400,0.717617936
1000,250,40,250,40,1000,40,-0.5,32000,0.691698744
300,900,3.77,450,31.03,225,17.17,0.25,16200,0.627688903
700,233,12.6,175,12.6,525,42,0.75,11200,0.623806978
1000,1000,3.33,1000,24.74,1000,80,0.25,20000,0.802346318
300,300,12,225,12,300,12,-0.25,9600,0.519218681
900,225,10.45,900,72,225,10.54,0.5,14400,0.813704227
600,900,36,900,65.37,675,36,-1,28800,0.780543114
667,1000,3.33,250,18.16,750,29.61,-0.25,6000,0.676577615
700,700,3.36,350,12.53,525,40.07,0.75,16800,0.601781674
700,233,3.94,700,7,350,3.94,-1,18200,0.538781608
700,233,3.36,175,12.71,350,22.84,-0.75,2800,0.661730611
700,700,3.36,175,8.84,175,3.68,-0.25,26600,0.354176252
1000,667,3.71,1000,68.95,500,12.37,0,36000,0.782805296
300,300,1,300,15.16,150,8.13,0.75,9600,0.512408174
300,86,2.04,150,4.82,300,9.63,-0.75,3600,0.500170865
1000,250,18,250,18,750,26.84,-0.25,6000,0.681477537
700,700,2.6,175,8.84,350,3.5,-0.5,25200,0.373663539
400,267,4.65,200,4.65,100,4.68,1,8000,0.372817588
1000,1000,18,750,18,750,46.18,0.25,34000,0.672935529
133,400,3.43,300,9.63,200,7.89,0.75,13600,0.43531883
700,233,4.75,175,10.13,700,22.47,-0.75,28000,0.547132098
350,700,6,700,56,700,53.42,1,9800,0.790918313
400,1000,4.8,500,32.63,750,40.66,0.25,10000,0.737943731
900,900,10.45,225,15.51,225,12.2,-0.5,28800,0.473593179
800,533,2.97,800,40.42,400,27.58,0.5,17600,0.738561594
1000,1000,40,500,40,1000,40,0.75,34000,0.676492485
1000,1000,3.71,500,28.95,500,17.89,0.25,28000,0.615745263
450,900,36,675,49.03,900,36,1,21600,0.7153592
300,600,5.14,150,5.14,300,9.63,0.25,8400,0.413111153
700,700,3.36,175,6.91,700,30.21,0.75,9800,0.584037554
300,900,10.45,225,14.68,225,10.45,-0.75,32400,0.44759881
167,500,2.81,250,19.08,500,6.84,1,9000,0.524090062
500,1000,18,250,18,250,18,0.25,24000,0.501270399
467,700,3.94,175,6.26,175,10.13,-1,8400,0.472682835
800,400,32,400,32,600,36.95,-0.25,24000,0.668231665
267,800,2.97,400,21.68,400,18.74,-0.25,14400,0.614762046
800,800,2.97,400,26.11,400,15.79,-0.25,24000,0.599464533
1000,286,40,250,40,250,40,0.5,30000,0.575459012
300,200,1,225,11.37,75,3.79,0.75,8400,0.444085769
500,500,2.09,125,7.24,125,10,1,2000,0.507677266
1000,500,3.71,250,8.03,750,18.55,-0.25,38000,0.500515887
600,171,6.97,300,16.26,150,6.97,0,21600,0.487795472
900,600,6.11,675,44.05,675,14.21,-1,25200,0.704422147
257,900,3.34,675,29.13,225,13.03,-0.75,5400,0.702328935
667,1000,5.62,500,5.62,750,48.95,-0.5,16000,0.700754222
286,1000,3.71,750,13.03,250,14.47,0.75,14000,0.640663741
300,200,12,150,12,225,12,0.25,7200,0.471223129
400,200,16,200,16,200,16,0.5,12800,0.480158862
360,900,5.06,900,55.42,900,58.74,-0.75,14400,0.858468382
229,800,9.29,200,9.29,200,11.58,0.25,16000,0.423858796
500,500,2.81,375,16.18,125,3.09,-0.25,20000,0.533679396
200,600,24,150,24,450,24,0,3600,0.65419817
175,700,6,350,18.97,350,13.82,0,11200,0.585612787
700,175,2.6,525,40.07,525,5.25,0.75,7000,0.735063944
400,400,2.25,300,14.05,200,10.84,-1,12800,0.507275375
700,700,12.6,700,12.6,525,12.6,0.5,7000,0.742472652
700,233,2.93,525,9.12,350,25.42,1,14000,0.567512589
600,600,2.88,450,16.11,600,28.11,1,22800,0.570752508
1000,250,3.71,1000,21.05,1000,43.16,0.5,24000,0.72725589
1000,333,11.61,500,34.47,500,34.47,-0.75,16000,0.726855838
150,600,2.51,450,36,150,8.68,0.5,6000,0.703194119
600,240,4.08,600,21.47,150,8.68,1,9600,0.649956647
450,900,3,225,3.08,450,12.79,1,25200,0.393643274
500,1000,4.19,1000,72.63,750,37.89,-1,40000,0.780623881
400,133,7.2,300,9.63,100,7.2,0.25,2400,0.643941642
350,700,2.33,350,22.84,525,11.05,-0.75,4200,0.746204319
700,700,8.13,525,12.99,525,14.92,-0.25,25200,0.582871132
600,171,4.08,600,28.11,450,19.42,0,18000,0.669109199
300,900,3.77,450,34.34,675,51.51,-0.5,30600,0.69922343
1000,667,6.79,500,19.74,500,12.37,0.5,28000,0.56815517
1000,667,18,250,18,250,18,1,30000,0.465266714
900,360,4.32,900,42.16,225,7.22,-0.75,28800,0.727799755
450,900,4.32,900,25.58,900,18.95,-0.25,34200,0.683006171
233,700,8.13,525,18.79,700,48.26,0.5,25200,0.665118635
267,400,1.92,400,8.42,400,5.47,0.75,15200,0.471012355
300,86,3.48,225,3.48,300,4.11,1,7800,0.364429376
286,1000,4.19,500,28.95,750,24.08,-0.5,14000,0.709807847
900,257,3.34,675,46.54,675,49.03,0.25,30600,0.709503791
400,100,2.72,300,3,200,13.05,0.5,5600,0.482798904
800,533,14.4,600,36.95,400,27.58,0.25,32000,0.645510115
400,267,2.25,200,9.37,200,4.21,-1,15200,0.407073369
700,350,3.94,700,35.37,525,20.72,1,9800,0.738071268
450,900,4.32,675,19.18,675,49.03,0.75,32400,0.647216925
300,300,1.69,300,6.32,150,1.69,0,7800,0.48918477
300,200,2.04,150,7.03,225,14.68,-0.25,9000,0.454072909
120,300,5.4,225,16.34,300,12.95,1,11400,0.474065179
300,150,1.11,225,6.39,300,11.84,0.75,3600,0.516252438
600,150,3.38,150,8.13,300,22.89,0.25,24000,0.462760109
333,1000,6.79,1000,13.68,1000,17.37,1,14000,0.711380622
900,600,16.2,225,16.2,675,46.54,-1,7200,0.714121144
800,400,6.86,400,9.89,400,18.74,0.75,8000,0.600418413
500,250,2.4,250,8.03,500,10.53,1,2000,0.634064222
600,171,5.14,300,16.26,300,6.32,0.25,3600,0.661452767
240,600,2,150,7.58,600,14.84,1,22800,0.451544597
125,500,3.4,500,19.74,500,8.68,-0.5,19000,0.596326063
257,900,3.34,900,45.47,225,17.17,-0.5,28800,0.719513564
200,400,1.92,100,5.05,300,6.32,1,7200,0.324058516
200,400,2.25,200,13.79,400,29.05,1,5600,0.583444313
200,400,1.33,400,8.42,300,14.05,0,13600,0.517651039
360,900,5.06,675,36.59,900,25.58,1,7200,0.788697982
800,800,14.4,800,34.53,400,24.63,-0.25,14400,0.780992464
175,700,3.36,350,26.71,175,8.2,-0.5,15400,0.583333128
500,333,20,125,20,375,20,0,1000,0.706978624
300,300,1,150,3.71,225,17.17,0.75,3600,0.470114294
400,600,2.51,450,6.16,600,10.42,0.5,4800,0.648050414
300,120,3.48,75,3.79,75,5.45,-0.25,3600,0.326878554
600,171,10.8,150,10.8,150,10.8,-0.75,6000,0.514421811
133,400,1.48,100,4.32,300,6.32,0.25,4800,0.377317868
600,150,5.14,450,34.34,150,10.34,-0.25,9600,0.709158831
600,900,3.77,225,9.71,225,18,-0.25,36000,0.424123298
800,800,2.97,800,31.58,800,43.37,-1,28800,0.748452309
1000,333,3.71,750,29.61,750,26.84,0.75,36000,0.636318178
143,500,2.81,125,5.86,500,32.63,1,11000,0.584200761
1000,667,40,500,40,750,46.18,-0.5,22000,0.739142491
114,400,1.67,100,8,200,9.37,1,5600,0.372412289
900,225,10.45,450,24.39,900,52.11,-0.25,30600,0.700078277
800,400,5.43,600,32.53,800,28.63,0.5,16000,0.696449395
900,300,6.11,450,31.03,450,31.03,-0.25,34200,0.618724782
150,300,1.69,150,10.34,75,2.68,-0.25,10200,0.385529513
400,800,14.4,400,14.4,600,39.16,0.75,28800,0.597694352
257,900,3.34,225,10.54,900,12.32,0,10800,0.574153754
600,150,5.14,600,23.68,600,8.21,0.25,9600,0.700931245
600,150,2.88,450,32.68,600,34.74,-1,19200,0.691064392
280,700,2.33,700,45.68,525,26.53,0.75,15400,0.720303601
667,1000,6.79,750,54.47,500,30.79,-1,8000,0.824379481
250,1000,3.33,500,34.47,750,54.47,0.75,38000,0.659594331
600,200,6.97,150,9.24,600,8.21,0.5,9600,0.452779243
250,1000,4.8,250,16.32,250,8.03,-0.25,2000,0.718658503
400,133,16,100,16,100,16,-0.75,10400,0.459157782
1000,1000,40,1000,76.32,750,40,1,10000,0.889840663
600,200,2.88,450,31.03,600,34.74,0.75,6000,0.726651533
700,350,6,350,16.39,525,11.05,1,21000,0.500193778
500,500,4.29,250,9.87,500,28.95,-0.75,4000,0.682154147
333,500,4.29,500,12.37,375,28.62,0.25,17000,0.590845028
400,600,4.08,300,15.16,600,43.58,-0.25,10800,0.684115513
200,600,6.97,300,24,450,16.11,-0.5,4800,0.691594018
800,400,2.97,400,21.68,600,34.74,0.25,4800,0.742202796
1000,250,8.57,250,8.57,750,43.42,-0.5,16000,0.660480687
300,600,6.97,300,11.84,450,7.82,-0.25,2400,0.714309189
800,800,3.35,800,31.58,800,31.58,-0.75,30400,0.728919061
200,700,12.6,350,12.6,175,12.6,-1,4200,0.615033051
267,800,9.29,800,64,400,17.26,-0.75,12800,0.78516475
300,300,1.26,225,9.71,75,1.26,-0.5,10200,0.428878144
200,600,2,450,32.68,300,11.84,0.75,6000,0.699923681
900,300,16.2,450,26.05,450,16.2,0.5,5400,0.734539337
75,300,2.57,150,7.03,75,2.57,0,6000,0.373742862
200,600,4.08,300,21.79,600,10.42,-0.25,15600,0.578422461
200,500,2.81,125,3.09,125,4.47,0.25,7000,0.309169707
175,700,2.6,175,10.78,525,36.2,0.5,14000,0.608898706
400,800,9.29,200,13.79,600,14.84,0.5,16000,0.500321677
286,1000,8.57,250,8.57,1000,68.95,0.5,32000,0.730693037
900,900,36,225,36,675,39.08,-0.5,27000,0.662558256
600,900,7.71,450,24.39,225,12.2,0,16200,0.627093065
280,700,2.6,350,20.26,175,12.07,0.75,8400,0.593719943
600,200,3.38,600,10.42,600,34.74,-0.5,15600,0.679510171
175,700,2.93,175,6.91,350,25.42,-0.5,18200,0.54343274
333,500,4.29,250,8.95,250,17.24,0.75,10000,0.481585637
900,900,16.2,225,16.2,225,17.17,0.5,36000,0.448404453
400,400,1.33,400,29.05,400,14.32,1,8000,0.641553668
700,700,2.93,525,26.53,525,5.25,0.75,12600,0.660385879
286,1000,18,750,37.89,1000,24.74,-1,18000,0.783671049
175,700,12.6,525,16.86,175,12.6,0.5,23800,0.538709216
267,400,3.43,100,3.43,300,21.79,0.75,8800,0.487960335
150,600,2,600,28.11,300,15.16,-0.25,24000,0.623631901
600,900,6.11,675,6.75,450,14.45,-0.75,10800,0.686268668
100,300,1.44,75,2.41,300,6.32,-0.5,10800,0.371687456
600,171,2,450,22.74,300,10.74,0.25,16800,0.59382537
800,229,2.97,400,29.05,400,11.37,-1,11200,0.648744783
900,450,5.06,225,8.88,450,29.37,0.25,27000,0.527813994
200,700,4.75,350,22.84,350,12.53,0.5,18200,0.542403573
500,125,2.09,375,9.28,375,18.95,-0.5,9000,0.611567736
700,280,8.13,350,26.71,700,50.84,0.5,23800,0.664246664
143,500,2.4,500,28.95,500,6.84,1,15000,0.607298667
257,900,3.34,675,11.72,900,28.89,0.5,12600,0.686927501
900,450,7.71,450,16.11,450,36,0.25,32400,0.581388955
500,250,1.86,250,8.03,125,9.54,-1,4000,0.508531125
300,600,2.51,450,11.13,150,7.03,-0.25,9600,0.587180948
600,600,24,150,24,450,24,-1,4800,0.659617569
400,100,2.72,400,18.74,300,24,-0.5,9600,0.651955651
1000,1000,8.57,500,32.63,1000,50.53,1,24000,0.679965327
800,800,32,400,32,600,32,-1,6400,0.797782671
171,600,24,300,24,600,48,1,20400,0.63955419
300,75,12,150,12,300,12,1,11400,0.43769516
100,300,1,300,17.37,300,20.68,-0.75,7200,0.615941522
600,150,10.8,450,31.03,300,19.58,-1,12000,0.663386418
250,500,2.09,375,17.57,375,13.42,-0.5,19000,0.560177129
286,1000,11.61,750,13.03,250,19.08,0.75,24000,0.586418691
1000,1000,3.71,250,11.71,500,30.79,1,24000,0.522568223
150,300,2.04,300,3,225,5.57,-0.5,9000,0.429930635
900,450,16.2,675,46.54,900,72,-0.25,18000,0.805700421
467,700,28,350,28,700,37.95,0.75,9800,0.679069421
333,1000,4.19,750,40.66,500,16.05,-0.5,22000,0.722775423
600,171,10.8,600,25.89,450,22.74,1,9600,0.67572253
900,300,3.77,225,14.68,450,31.03,-0.25,28800,0.549898841
700,467,2.33,700,43.11,525,14.92,1,25200,0.665972368
100,300,5.4,150,10.89,225,5.4,1,3000,0.473906795
600,600,24,450,24,300,24,-1,10800,0.669950363
200,400,2.25,300,10.74,300,15.16,-1,5600,0.613571507
700,350,8.13,175,8.84,350,22.84,-0.25,9800,0.536173198
300,120,2.57,300,16.26,225,8.05,-0.5,10800,0.556870699
225,900,3,450,29.37,225,13.86,1,27000,0.552764424
800,320,6.86,800,22.74,600,43.58,0.5,14400,0.727139434
300,300,1,300,3,225,18,-0.25,8400,0.504636563
500,143,2.4,250,3.42,125,4.47,0.5,4000,0.485561801
700,200,2.6,525,14.92,175,6.91,0.5,15400,0.576361776
400,133,7.2,400,32,300,16.26,0.25,4800,0.714816657
200,300,2.57,75,2.96,225,13.86,-1,10200,0.43868807
600,171,3.38,300,10.74,300,7.42,0.75,12000,0.478265443
700,200,2.33,525,24.59,350,15.11,0,28000,0.598172522
1000,1000,6.79,500,21.58,250,19.08,-0.5,36000,0.588897294
500,333,2.81,375,12.04,375,14.8,0.5,12000,0.545598128
320,800,2.67,400,17.26,200,7.89,0.5,32000,0.482132849
900,900,3.77,225,12.2,675,9.24,0.75,36000,0.407097472
400,133,1.33,200,2,300,10.74,0,12800,0.401174417
200,800,5.43,400,32,400,23.16,0.5,14400,0.623388715
280,700,2.33,700,40.53,350,24.13,-1,5600,0.768402955
400,114,4.65,300,20.68,300,10.74,0,16000,0.536432077
800,229,5.43,400,14.32,600,23.68,-0.75,32000,0.580957126
225,900,10.45,675,29.13,900,68.68,0.25,14400,0.7882575
400,600,3.38,300,5.21,150,3.38,0.5,4800,0.547772766
150,600,2,450,27.71,600,41.37,0.75,9600,0.692905068
1000,500,8.57,750,21.32,500,14.21,0,36000,0.632375919
300,150,1.69,75,3.79,75,2.96,-0.75,5400,0.281392389
700,233,28,700,35.37,350,28,1,21000,0.661641543
360,900,36,675,39.08,450,36,-0.75,34200,0.69898262
700,200,4.75,350,8.66,175,4.97,1,8400,0.514700733
267,400,1.33,200,2,300,16.26,0.75,4800,0.472698589
300,100,12,75,12,300,12.95,1,5400,0.460940385
267,400,2.25,300,10.74,400,24.63,1,8800,0.553527375
133,400,1.67,400,32,200,3.47,0.5,12000,0.608046978
200,700,28,350,28,525,28,-0.5,14000,0.668589238
467,700,3.94,525,28.46,175,3.94,0.75,12600,0.649252341
1000,667,3.71,250,17.24,750,43.42,0.5,4000,0.705902728
500,500,20,250,20,500,20,1,19000,0.531832904
400,267,2.72,200,10.84,200,9.37,0,10400,0.457825176
240,600,2.23,150,9.79,600,25.89,0.75,22800,0.543853063
225,900,3.34,225,14.68,900,25.58,-0.5,19800,0.656573494
1000,500,5.62,750,21.32,500,25.26,0,12000,0.756338184
200,500,2.4,125,7.24,500,21.58,0.75,9000,0.53568251
160,400,3.43,100,5.42,100,5.05,0.5,8000,0.284380683
700,467,2.93,175,2.93,525,12.99,0.5,19600,0.421693763
300,120,1.11,150,10.34,225,17.17,0.75,5400,0.47839979
700,175,3.36,525,24.59,700,17.32,-0.25,26600,0.62897741
250,500,3.4,500,8.68,375,18.95,-0.5,13000,0.595553265
